Tous	HP:0000001#
Retard de croissance intra-utérin, sévère	HP:0008846#
Déficience de croissance prénatale sévère	HP:0008846#
Stature modérément courte	HP:0008848#
Petite taille modérée	HP:0008848#
Petite taille, modérée	HP:0008848#
Retard de croissance postnatal sévère	HP:0008850#
Défaut de croissance postnatale sévère	HP:0008850#
Retard de croissance sévère chez l'enfant	HP:0008850#
Retard de croissance marqué	HP:0008850#
Retard de croissance postnatal modéré	HP:0008855#
Retard de croissance modéré chez l'enfant	HP:0008855#
Nanisme néonatal à tronc court	HP:0008857#
Nanisme à tronc court identifiable à la naissance	HP:0008857#
Retard de croissance secondaire à des infections récurrentes	HP:0008866#
Perte de poids secondaire à des infections récurrentes	HP:0008866#
Difficultés d'alimentation dans la petite enfance	HP:0008872#
Petite taille disproportionnée des membres courts	HP:0008873#
Nanisme à membres courts	HP:0008873#
Nanisme des membres courts	HP:0008873#
Nanisme disproportionné des membres courts	HP:0008873#
Nanisme brachymélique	HP:0008873#
Nanisme des membres courts, disproportionné	HP:0008873#
Petite taille, membre court disproportionné	HP:0008873#
Nanisme micromélique	HP:0008873#
Léger retard de croissance intra-utérin	HP:0008883#
Léger retard de croissance prénatal	HP:0008883#
Perte de tissu adipeux	HP:0008887#
Nanisme sévère des membres courts	HP:0008890#
Retard de croissance postnatal	HP:0008897#
Retard de croissance chez l'enfant	HP:0008897#
Retard de croissance postnatale	HP:0008897#
Ralentissement de la croissance postnatale	HP:0008897#
Défaut de croissance postnatale	HP:0008897#
Rhizomélie	HP:0008905#
Petite taille rhizomélique	HP:0008905#
Raccourcissement rhizomélique symétrique des membres	HP:0008905#
Raccourcissement rhizomélique	HP:0008905#
Petite taille, rhizomélique	HP:0008905#
Nanisme rhizomélique	HP:0008905#
Raccourcissement des membres rhizoméliques	HP:0008905#
Membres courts rhizoméliques	HP:0008905#
Petite taille létale à membres courts	HP:0008909#
Nanisme létal à membres courts	HP:0008909#
Nanisme micromélique létal	HP:0008909#
Obésité tronculaire apparaissant dans l'enfance	HP:0008915#
Nanisme néonatal des membres courts	HP:0008921#
Nanisme néonatal à membres courts	HP:0008921#
Nanisme des membres courts identifiable à la naissance	HP:0008921#
Nanisme à membres courts identifiable en période néonatale	HP:0008921#
Nanisme à membres courts identifiable à la naissance	HP:0008921#
Nanisme à tronc court apparu pendant l'enfance	HP:0008922#
Petite taille disproportionnée du tronc, identifiable dans l'enfance	HP:0008922#
Petite taille du tronc à l'âge de l'enfance	HP:0008922#
Nanisme à court tronc identifiable pendant l'enfance	HP:0008922#
Petite taille asymétrique	HP:0008929#
Hypotonie néonatale généralisée	HP:0008935#
Faible tonus musculaire généralisé chez le nouveau-né	HP:0008935#
Hypotonie musculaire du tronc	HP:0008936#
Hypotonie axiale	HP:0008936#
Hypotonie tronculaire	HP:0008936#
Faible tonus musculaire du tronc	HP:0008936#
Lymphadénopathie généralisée	HP:0008940#
Gonflement des ganglions lymphatiques affectant toutes les régions du corps	HP:0008940#
Gonflement généralisé des ganglions lymphatiques	HP:0008940#
Rhabdomyolyse aiguë	HP:0008942#
Amyotrophie distale des membres inférieurs	HP:0008944#
Dégénérescence des membres inférieurs	HP:0008944#
Amyotrophie des membres inférieurs	HP:0008944#
Hypotrophie musculaire des membres inférieurs	HP:0008944#
Atrophie des membres inférieurs	HP:0008944#
Atrophie musculaire, membre inférieur, distal	HP:0008944#
Perte de la capacité à marcher dans la petite enfance	HP:0008945#
Amyotrophie de la ceinture pelvienne	HP:0008946#
Amyotrophie de la ceinture de la hanche	HP:0008946#
Hypotonie musculaire infantile	HP:0008947#
Hypotonie chez le nourrisson	HP:0008947#
Diminution du tonus musculaire chez le nourrisson	HP:0008947#
Hypotonie précoce	HP:0008947#
Hypotonie infantile	HP:0008947#
Amyotrophie proximale des membres supérieurs	HP:0008948#
Atrophie musculaire proximale des membres supérieurs	HP:0008948#
Hypoplasie du muscle de l'épaule	HP:0008952#
Muscle de l'épaule sous-développé	HP:0008952#
Hypoplasie du muscle grand pectoral	HP:0008953#
Atrophie des muscles intrinsèques de la main	HP:0008954#
Atrophie musculaire distale progressive	HP:0008955#
Amyotrophie proximale des membres inférieurs	HP:0008956#
Amyotrophie de la cuisse	HP:0008956#
Atrophie musculaire proximale des membres inférieurs	HP:0008956#
Atrophie du muscle de la cuisse	HP:0008956#
Amyotrophie de la musculature de la cuisse	HP:0008956#
Faiblesse musculaire des membres supérieurs distaux	HP:0008959#
Hypoplasie des muscles du mollet	HP:0008962#
Muscles du mollet hypoplasiques	HP:0008962#
Muscles du mollet sous-développés	HP:0008962#
Faiblesse des muscles du tibia	HP:0008963#
Atrophie musculaire non progressive	HP:0008964#
Raideur musculaire à l'effort	HP:0008967#
Raideur musculaire induite par l'exercice	HP:0008967#
Hypertrophie musculaire des membres inférieurs	HP:0008968#
Raideur musculaire des jambes	HP:0008969#
Dystrophie musculaire scapulo-humérale	HP:0008970#
Diminution de l'activité de la chaîne respiratoire mitochondriale	HP:0008972#
Diminution de l'activité des complexes de la chaîne respiratoire codés par la mitochondrie	HP:0008972#
Diminution de l'activité des complexes respiratoires mitochondriaux	HP:0008972#
Myopathie nécrosante	HP:0008978#
Hypertrophie des muscles du mollet	HP:0008981#
Hypertrophie du mollet	HP:0008981#
Augmentation de la taille des muscles du mollet	HP:0008981#
Hypertrophie musculaire des muscles du mollet	HP:0008981#
Hypoplasie des muscles du cou	HP:0008984#
Diminution de la taille des muscles du cou	HP:0008984#
Déficit du muscle du cou	HP:0008984#
Petit muscle du cou	HP:0008984#
Muscle du cou hypotrophique	HP:0008984#
Sous-développement du muscle du cou	HP:0008984#
Augmentation de la graisse intramusculaire	HP:0008985#
Agénésie du diaphragme	HP:0008986#
Absence de diaphragme	HP:0008986#
Atrophie des muscles de la ceinture pelvienne	HP:0008988#
Perte de masse musculaire des ceintures pelviennes	HP:0008988#
Crampes aux jambes à l'effort	HP:0008991#
Augmentation de la graisse intra-abdominale	HP:0008993#
Faiblesse musculaire proximale des membres inférieurs	HP:0008994#
Faiblesse musculaire, proximale, des membres inférieurs	HP:0008994#
Faiblesse musculaire proximale des membres supérieurs	HP:0008997#
Hypoplasie du pectoral	HP:0008998#
Muscle pectoral sous-développé	HP:0008998#
Hypoplasie du muscle pectoral	HP:0008998#
Petit muscle pectoral	HP:0008998#
Perte du tissu adipeux sous-cutané du tronc	HP:0009002#
Perte de tissu adipeux dans le tronc	HP:0009002#
Perte du tissu adipeux du tronc	HP:0009002#
Augmentation du tissu adipeux sous-cutané du tronc	HP:0009003#
Augmentation de la graisse sous la peau du tronc	HP:0009003#
Hypoplasie de la musculature	HP:0009004#
Musculature squelettique peu développée	HP:0009004#
Muscle sous-développé	HP:0009004#
Hypoplasie musculaire	HP:0009004#
Faiblesse des muscles intrinsèques de la main	HP:0009005#
Hypoplasie du biceps	HP:0009007#
Biceps hypoplasique	HP:0009007#
Biceps sous-développé	HP:0009007#
Hypoplasie du muscle serratus anterior	HP:0009011#
Absence congénitale de muscles fessiers	HP:0009013#
Hypoplasie des muscles des membres supérieurs	HP:0009016#
Sous-développement des muscles des membres supérieurs	HP:0009016#
Perte de tissu adipeux sous-cutané fessier	HP:0009017#
Perte de tissu adipeux sous la peau dans les fesses	HP:0009017#
Perte progressive du tissu adipeux facial	HP:0009019#
Perte progressive de graisse faciale	HP:0009019#
Perte de graisse faciale	HP:0009019#
Perte progressive du tissu adipeux sous-cutané du visage	HP:0009019#
Atrophie de la graisse faciale	HP:0009019#
Perte du tissu adipeux sous-cutané du visage, progressive	HP:0009019#
Atrophie du tissu adipeux du visage	HP:0009019#
Fatigue musculaire induite par l'exercice	HP:0009020#
Faiblesse musculaire de la paroi abdominale	HP:0009023#
Musculature abdominale relâchée	HP:0009023#
Augmentation du tissu conjonctif	HP:0009025#
Hypoplasie du muscle latissimus dorsi	HP:0009026#
Faiblesse du dorsiflecteur du pied	HP:0009027#
Pied tombant	HP:0009027#
Faiblesse de l'extenseur du pied	HP:0009027#
Faiblesse généralisée des muscles des membres	HP:0009028#
Amyotrophie de la musculature de la cheville	HP:0009031#
Amyotrophie spinale segmentaire	HP:0009037#
Hypertrophie musculaire marquée	HP:0009042#
obsolète Hypoplasie du muscle deltoïde	HP:0009044#
Rhabdomyolyse à l'effort	HP:0009045#
Difficulté à courir	HP:0009046#
Atrophie du muscle péronier	HP:0009049#
Atrophie du péroné	HP:0009049#
Atrophie des muscles quadriceps	HP:0009050#
Augmentation du contenu en glycogène des muscles	HP:0009051#
Faiblesse musculaire distale des membres inférieurs	HP:0009053#
Faiblesse musculaire, membre inférieur, distale	HP:0009053#
Myopathie scapulopéronéale	HP:0009054#
Atrophie musculaire généralisée des membres inférieurs	HP:0009055#
Atrophie musculaire généralisée	HP:0009055#
Atrophie musculaire généralisée, proximale et distale	HP:0009055#
Perte de tissu adipeux sous-cutané des membres supérieurs	HP:0009056#
Perte de tissu adipeux sous la peau des membres supérieurs	HP:0009056#
Augmentation de la teneur en lipides des muscles	HP:0009058#
Dépôts de graisse dans les fibres musculaires	HP:0009058#
Accumulation de graisse dans les fibres musculaires	HP:0009058#
Accumulation de lipides dans les muscles squelettiques	HP:0009058#
Lipidose musculaire	HP:0009058#
Lipodystrophie congénitale généralisée	HP:0009059#
Atrophie du muscle scapulaire	HP:0009060#
Hypotonie axiale infantile	HP:0009062#
Hypotonie axiale de l'enfant	HP:0009062#
Faiblesse musculaire distale progressive	HP:0009063#
Faiblesse musculaire, progressive, distale	HP:0009063#
Lipodystrophie généralisée	HP:0009064#
Amyotrophie spinale progressive	HP:0009067#
Déperdition progressive des muscles spinaux	HP:0009067#
Dégénérescence progressive des muscles spinaux	HP:0009067#
Myopathie mitochondriale infantile létale	HP:0009069#
Myopathie inflammatoire	HP:0009071#
Diminution du réflexe d'Achille	HP:0009072#
Hyporéflexie au niveau des articulations de la cheville	HP:0009072#
Faiblesse musculaire proximale progressive	HP:0009073#
Faiblesse musculaire, progressive, proximale	HP:0009073#
Faiblesse des muscles extenseurs des doigts longs	HP:0009077#
Entaille de la ligne médiane de la crête alvéolaire supérieure	HP:0009084#
Entaille médiane de la crête gingivale supérieure	HP:0009084#
Entaille médiane du processus alvéolaire maxillaire	HP:0009084#
Encoche médiane de la crête alvéolaire maxillaire	HP:0009084#
Fente médiane de la crête alvéolaire supérieure	HP:0009084#
Encoche médiane du processus alvéolaire maxillaire	HP:0009084#
Excroissance de la crête alvéolaire	HP:0009085#
Hypertrophie de la crête alvéolaire	HP:0009085#
Hyperplasie de la crête alvéolaire	HP:0009085#
Augmentation de la taille de la crête gingivale	HP:0009085#
Crête alvéolaire épaissie	HP:0009085#
Crête alvéolaire élargie	HP:0009085#
Crêtes alvéolaires épaisses	HP:0009085#
Excroissance de la crête gingivale	HP:0009085#
Excès de la crête alvéolaire	HP:0009085#
Augmentation de la taille de la crête alvéolaire	HP:0009085#
Hyperplasie du processus alvéolaire de la mâchoire	HP:0009085#
Langue placée en arrière	HP:0009087#
Langue placée postérieurement	HP:0009087#
Difficultés d'articulation de la parole	HP:0009088#
obsolète Aspect de diplégie faciale	HP:0009090#
Hypertrophie progressive de la crête alvéolaire	HP:0009092#
Hypertrophie progressive du processus alvéolaire de la mâchoire	HP:0009092#
Augmentation de la taille de la crête gingivale	HP:0009092#
Augmentation de la croissance excessive de la crête gingivale	HP:0009092#
Fente de la crête alvéolaire inférieure	HP:0009094#
Fente du processus alvéolaire mandibulaire	HP:0009094#
Entaille du processus alvéolaire mandibulaire	HP:0009094#
Entaille de la crête alvéolaire mandibulaire	HP:0009094#
Entaille de la crête alvéolaire inférieure	HP:0009094#
Entaille de la gencive inférieure	HP:0009094#
Entaille de la crête gingivale inférieure	HP:0009094#
Fente de la crête gingivale inférieure	HP:0009094#
Fente du processus alvéolaire inférieur	HP:0009094#
Fente de la gencive mandibulaire	HP:0009094#
Entaille du processus alvéolaire inférieur	HP:0009094#
Candidose orale chronique	HP:0009098#
Muguet buccal chronique	HP:0009098#
Fente palatine médiane	HP:0009099#
Fente palatine centrale	HP:0009099#
Crêtes alvéolaires antérieures épaisses	HP:0009100#
Processus alvéolaire antérieur épais de la mâchoire	HP:0009100#
Fente labiale sous-muqueuse	HP:0009101#
Malocclusion antérieure à dents ouvertes	HP:0009102#
Articulation antérieure ouverte entre les dents supérieures et inférieures	HP:0009102#
Absence de chevauchement des dents antérieures supérieures et inférieures	HP:0009102#
Décalage entre les dents antérieures supérieures et inférieures lors de la morsure	HP:0009102#
Aplasie/hypoplasie du bassin	HP:0009103#
Bassin absent/petit	HP:0009103#
Bassin absent ou sous-développé	HP:0009103#
Aplasie/Hypoplasie de l'os pubien	HP:0009104#
Os pubiens absents/sous-développés	HP:0009104#
Os pubiens hypoplasiques/aplasiques	HP:0009104#
Os pubiens absents/petits	HP:0009104#
Ossification anormale de l'os pubien	HP:0009105#
Maturation anormale de l'os pubien	HP:0009105#
Ossification anormale de l'os du bassin	HP:0009106#
Maturation anormale de l'os du bassin	HP:0009106#
Ossification anormale impliquant les os du bassin	HP:0009106#
Ossification anormale de la tête et du col du fémur	HP:0009107#
Maturation anormale de la tête et du col des os de la cuisse	HP:0009107#
Aplasie/hypoplasie de la tête et du col du fémur	HP:0009108#
Tête et col du fémur absents ou sous-développés	HP:0009108#
Absence/petite tête et cou du fémur	HP:0009108#
Dénervation du diaphragme	HP:0009109#
Eventration du diaphragme	HP:0009110#
Absence de l'hémidiaphragme gauche	HP:0009112#
Faiblesse diaphragmatique	HP:0009113#
Paraparésie diaphragmatique	HP:0009113#
Faiblesse du diaphragme	HP:0009113#
Diminution du mouvement diaphragmatique	HP:0009113#
Aplasie/hypoplasie du squelette	HP:0009115#
Squelette absent ou sous-développé	HP:0009115#
Squelette absent/petit	HP:0009115#
Aplasie/Hypoplasie des os du crâne	HP:0009116#
Aplasie/Hypoplasie du maxillaire	HP:0009117#
Sous-développement du maxillaire	HP:0009117#
Sous-développement des os de la mâchoire supérieure	HP:0009117#
Aplasie/Hypoplasie de la mandibule	HP:0009118#
Aplasie/hypoplasie des sinus frontaux	HP:0009119#
Sinus frontal anormalement petit	HP:0009119#
Aplasie/Hypoplasie impliquant les sinus	HP:0009120#
Morphologie anormale du squelette axial	HP:0009121#
Anomalie du squelette axial	HP:0009121#
Aplasie/hypoplasie affectant les os du squelette axial	HP:0009122#
Hypo- et hyperpigmentation mixtes de la peau	HP:0009123#
Morphologie anormale du tissu adipeux	HP:0009124#
Anomalie du tissu adipeux	HP:0009124#
Lipodystrophie	HP:0009125#
Augmentation du tissu adipeux	HP:0009126#
Anomalie de la musculature des membres	HP:0009127#
Problèmes musculaires dans les bras et/ou les jambes	HP:0009127#
Aplasie/Hypoplasie impliquant la musculature des extrémités	HP:0009128#
Muscles des extrémités absents ou sous-développés	HP:0009128#
Muscles des extrémités absents/petits	HP:0009128#
Amyotrophie des membres supérieurs	HP:0009129#
Amyotrophie impliquant les membres supérieurs	HP:0009129#
Atrophie des muscles de la main	HP:0009130#
Dégénérescence des muscles de la main	HP:0009130#
Atrophie des muscles de la main, bilatérale	HP:0009130#
Amyotrophie impliquant la musculature de la main	HP:0009130#
Amyotrophie des muscles de la main	HP:0009130#
Déperdition musculaire de la main	HP:0009130#
Anomalie de la musculature du thorax	HP:0009131#
Anomalie de la densité minérale osseuse du tarse	HP:0009132#
Anomalie de la densité minérale osseuse des os du tarse	HP:0009132#
Ostéolyse des os du pied	HP:0009134#
Duplication des os du pied	HP:0009136#
Duplication impliquant les os des pieds	HP:0009136#
Synostose des os des membres inférieurs	HP:0009138#
Fusion impliquant les os des membres inférieurs	HP:0009138#
Ostéolyse des os des membres inférieurs	HP:0009139#
Synostose des os du pied	HP:0009140#
Fusion impliquant les os des pieds	HP:0009140#
Déplétion de l'ADN mitochondrial dans le tissu musculaire	HP:0009141#
Déplétion de l'ADN mitochondrial dans le tissu musculaire squelettique	HP:0009141#
Duplication d'os impliquant les extrémités supérieures	HP:0009142#
Os surnuméraires du squelette axial	HP:0009144#
Anomalie de la morphologie des artères cérébrales	HP:0009145#
Anomalie des artères cérébrales	HP:0009145#
Anomalie de l'artère cérébrale	HP:0009145#
Épiphyse élargie de la phalange distale du 5e doigt	HP:0009147#
Partie terminale élargie de l'os le plus externe de l'auriculaire	HP:0009147#
Petite épiphyse de la phalange distale du 5e doigt	HP:0009148#
Petite partie terminale de l'os le plus externe de l'auriculaire	HP:0009148#
Petite extrémité de l'os le plus externe de l'auriculaire	HP:0009148#
Épiphyse triangulaire de la phalange distale du 5e doigt	HP:0009149#
Partie terminale triangulaire de l'os le plus externe de l'auriculaire	HP:0009149#
Épiphyse en forme de delta de la phalange distale du 5e doigt	HP:0009149#
Anomalie de la phalange proximale du 5ème doigt	HP:0009150#
Anomalie de l'os le plus interne de l'auriculaire	HP:0009150#
Anomalie des épiphyses du 5ème doigt	HP:0009152#
Anomalie de la partie terminale de l'os de l'auriculaire	HP:0009152#
Anomalie de la partie terminale de l'os du petit doigt	HP:0009152#
Anomalie de l'épiphyse de la phalange proximale du 5ème doigt	HP:0009153#
Anomalie de la partie terminale de l'os le plus interne de l'auriculaire	HP:0009153#
Épiphyse triangulaire de la phalange proximale du 5e doigt	HP:0009154#
Partie terminale triangulaire de l'os le plus interne de l'auriculaire	HP:0009154#
Épiphyse en forme de delta de la phalange proximale du 5ème doigt	HP:0009154#
Épiphyse conique de la phalange proximale du 5e doigt	HP:0009155#
Partie terminale conique de l'os le plus interne de l'auriculaire	HP:0009155#
Épiphyse conique de la phalange proximale de l'auriculaire	HP:0009155#
Épiphyse en forme d'ange de la phalange proximale du 5e doigt	HP:0009155#
Épiphyse ivoire de la phalange proximale du 5ème doigt	HP:0009157#
Augmentation de la densité osseuse de la partie terminale de l'os le plus interne de l'auriculaire	HP:0009157#
Épiphyse ivoire de la phalange proximale de l'auriculaire	HP:0009157#
Épiphyse élargie de la phalange proximale du 5e doigt	HP:0009158#
Partie terminale élargie de l'os le plus interne de l'auriculaire	HP:0009158#
Petite épiphyse de la phalange proximale du 5e doigt	HP:0009159#
Petite partie terminale de l'os le plus interne de l'auriculaire	HP:0009159#
Petite extrémité de l'os le plus interne de l'auriculaire	HP:0009159#
Épiphyse absente de la phalange proximale du 5e doigt	HP:0009160#
Partie terminale absente de l'os le plus interne de l'auriculaire	HP:0009160#
Absence de la partie terminale de l'os le plus interne de l'auriculaire	HP:0009160#
Aplasie/Hypoplasie de la phalange moyenne du 5ème doigt	HP:0009161#
Absence/petitesse de l'os moyen de l'auriculaire	HP:0009161#
Absence ou sous-développement de l'os moyen de l'auriculaire	HP:0009161#
Absence/hypoplasie de la phalange moyenne du 5ème doigt	HP:0009161#
Os moyen de l'auriculaire absent/sous-développé	HP:0009161#
Os moyen de l'auriculaire absent ou sous-développé	HP:0009161#
Absence de la phalange moyenne du 5e doigt	HP:0009162#
Absence de l'os moyen de l'auriculaire	HP:0009162#
Aplasie de la phalange moyenne du 5ème doigt	HP:0009162#
obsolète Forme anormale du 5e doigt	HP:0009163#
Calcification anormale des os du carpe	HP:0009164#
Calcification anormale des os du poignet	HP:0009164#
Calcifications du carpe	HP:0009164#
Piqûres de l'épiphyse de la phalange distale du 5e doigt	HP:0009165#
Calcifications mouchetées dans la partie terminale de l'os le plus externe de l'auriculaire	HP:0009165#
Fragmentation de l'épiphyse de la phalange distale du 5ème doigt	HP:0009166#
Fragmentation de la partie terminale de l'os le plus externe de l'auriculaire	HP:0009166#
Épiphyse irrégulière de la phalange distale du 5e doigt	HP:0009167#
Partie terminale irrégulière de l'os le plus externe de l'auriculaire	HP:0009167#
Extrémité irrégulière de l'os le plus externe de l'auriculaire	HP:0009167#
Phalange moyenne du 5e doigt en forme de balle	HP:0009168#
Os moyen de l'auriculaire en forme de balle	HP:0009168#
Os de l'auriculaire moyen en forme de calotte	HP:0009168#
Petit doigt moyen en forme de calotte osseuse	HP:0009168#
Phalange moyenne large du 5ème doigt	HP:0009169#
Os moyen large de l'auriculaire	HP:0009169#
Défauts ostéolytiques de la phalange moyenne du 5e doigt	HP:0009170#
Épiphyses triangulaires des métacarpiens	HP:0009171#
Partie terminale triangulaire de l'os long de la main	HP:0009171#
Anomalie des phalanges du 4ème doigt	HP:0009172#
Anomalie des os du 4ème doigt	HP:0009172#
Anomalie des phalanges de l'annulaire	HP:0009172#
Phalange moyenne courbée du 5ème doigt	HP:0009173#
Os moyen courbé de l'auriculaire	HP:0009173#
Anomalie des épiphyses du 4ème doigt	HP:0009174#
Anomalie de la partie terminale de l'annulaire	HP:0009174#
Sclérose parcellaire de la phalange moyenne du 5e doigt	HP:0009175#
Augmentation inégale de la densité osseuse de l'os moyen de l'auriculaire	HP:0009175#
Augmentation irrégulière de la densité osseuse de l'os moyen de l'auriculaire	HP:0009175#
Symphalangisme proximal/médian du 5e doigt	HP:0009177#
Fusion des os proximal et moyen de l'auriculaire	HP:0009177#
Symphalangisme du cinquième doigt proximal	HP:0009177#
Symphalangisme des phalanges proximales et moyennes du 5ème doigt	HP:0009177#
Symphalangisme du cinquième doigt	HP:0009177#
Fusion des os les plus internes et médians de l'auriculaire	HP:0009177#
Fusion des os les plus internes et des os centraux de l'auriculaire	HP:0009177#
Symphalangisme du 5e doigt proximal	HP:0009177#
Symphalangisme de la phalange moyenne du 5ème doigt	HP:0009178#
Fusion des os moyens de l'auriculaire	HP:0009178#
Fusion des os du petit doigt	HP:0009178#
Fusion des os centraux de l'auriculaire	HP:0009178#
Déviation du 5ème doigt	HP:0009179#
Petit doigt déplacé	HP:0009179#
Déplacement latéral du 5ème doigt	HP:0009179#
Déviation ulnaire du 5ème doigt	HP:0009180#
Phalange moyenne du 5ème doigt de forme triangulaire	HP:0009182#
Os de l'auriculaire moyen de forme triangulaire	HP:0009182#
Os moyen de l'auriculaire de forme triangulaire	HP:0009182#
Contracture articulaire du 5ème doigt	HP:0009183#
Camptodactylie du 5ème doigt	HP:0009183#
Contracture de l'articulation interphalangienne distale du 5ème doigt	HP:0009184#
Contracture de l'articulation interphalangienne proximale du 5ème doigt	HP:0009185#
Camptodactylie du 5e doigt	HP:0009185#
Contracture de l'articulation métacarpophalangienne du 5ème doigt	HP:0009186#
Épiphyse en forme de crochet de la phalange distale du 5e doigt	HP:0009187#
Partie terminale en forme de crochet de l'os le plus externe de l'auriculaire	HP:0009187#
Pseudo-épiphyse de la phalange distale du 5e doigt	HP:0009188#
Fragmentation des épiphyses des métacarpiens	HP:0009189#
Fragmentation de la partie terminale de l'os long de la main	HP:0009189#
Épiphyses irrégulières des métacarpiens	HP:0009190#
Partie terminale irrégulière de l'os long de la main	HP:0009190#
Épiphyses ivoires des métacarpiens	HP:0009191#
Augmentation de la densité osseuse de la partie terminale de l'os long de la main	HP:0009191#
Aplasie/Hypoplasie de la phalange proximale du 5ème doigt	HP:0009192#
Absence/petite taille de l'os interne de l'auriculaire	HP:0009192#
Os de l'auriculaire absent/petit à l'intérieur	HP:0009192#
Os de l'auriculaire absent ou sous-développé	HP:0009192#
Pseudo-épiphyses des métacarpiens	HP:0009193#
Centres d'ossification des métacarpiens proximaux accessoires	HP:0009193#
Petites épiphyses des métacarpiens	HP:0009194#
Petite partie terminale de l'os long de la main	HP:0009194#
Mouchetures épiphysaires des métacarpiens	HP:0009195#
Calcifications mouchetées dans la partie terminale de l'os long de la main	HP:0009195#
Piqûres des épiphyses des métacarpiens	HP:0009195#
Épiphyses des métacarpiens absentes	HP:0009196#
Absence de la partie terminale de l'os long de la main	HP:0009196#
Centre d'ossification métacarpien absent	HP:0009196#
Épiphyse en forme de crochet de la phalange proximale du 5e doigt	HP:0009197#
Partie terminale en forme de crochet de l'os le plus interne de l'auriculaire	HP:0009197#
Anomalie de l'épiphyse de la phalange distale du 5e doigt	HP:0009198#
Anomalie de l'épiphyse de la phalange terminale de l'auriculaire	HP:0009198#
Anomalie de la partie terminale de l'os le plus interne de l'auriculaire	HP:0009198#
Épiphyse irrégulière de la phalange proximale du 5e doigt	HP:0009199#
Partie terminale irrégulière de l'os le plus interne de l'auriculaire	HP:0009199#
Partie terminale irrégulière de l'os de l'auriculaire le plus interne	HP:0009199#
Pseudo-épiphyse de la phalange proximale du 5e doigt	HP:0009200#
Piqûres de l'épiphyse de la phalange proximale du 5ème doigt	HP:0009201#
Calcifications mouchetées dans la partie terminale de l'os le plus interne de l'auriculaire	HP:0009201#
Calcifications mouchetées dans la partie terminale de l'os le plus à l'intérieur de l'auriculaire	HP:0009201#
Fragmentation de l'épiphyse de la phalange proximale du 5ème doigt	HP:0009202#
Fragmentation de la partie terminale de l'os le plus interne de l'auriculaire	HP:0009202#
Épiphyse absente de la phalange moyenne du 5e doigt	HP:0009203#
Absence de la partie terminale de l'os moyen de l'auriculaire	HP:0009203#
Partie terminale absente de l'os moyen de l'auriculaire	HP:0009203#
Épiphyse en forme de crochet de la phalange moyenne du 5e doigt	HP:0009204#
Partie terminale en forme de crochet de l'os moyen de l'auriculaire	HP:0009204#
Épiphyse conique de la phalange moyenne du 5e doigt	HP:0009205#
Partie terminale conique de l'os moyen de l'auriculaire	HP:0009205#
Épiphyse élargie de la phalange moyenne du 5e doigt	HP:0009206#
Partie terminale élargie de l'os moyen de l'auriculaire	HP:0009206#
Fragmentation de l'épiphyse de la phalange moyenne du 5ème doigt	HP:0009207#
Fragmentation de la partie terminale de l'os moyen de l'auriculaire	HP:0009207#
Épiphyse irrégulière de la phalange moyenne du 5e doigt	HP:0009208#
Partie terminale irrégulière de l'os moyen de l'auriculaire	HP:0009208#
Épiphyse ivoire de la phalange moyenne du 5e doigt	HP:0009209#
Augmentation de la densité osseuse de la partie terminale de l'os moyen de l'auriculaire	HP:0009209#
Pseudo-épiphyse de la phalange moyenne du 5e doigt	HP:0009210#
Petite épiphyse de la phalange moyenne du 5ème doigt	HP:0009211#
Petite partie terminale de l'os moyen de l'auriculaire	HP:0009211#
Piqûre de l'épiphyse de la phalange moyenne du 5e doigt	HP:0009212#
Calcifications mouchetées dans la partie terminale de l'os moyen de l'auriculaire	HP:0009212#
Épiphyse triangulaire de la phalange moyenne du 5e doigt	HP:0009213#
Partie terminale triangulaire de l'os moyen de l'auriculaire	HP:0009213#
Épiphyse en forme de triangle de la phalange moyenne du 5ème doigt	HP:0009213#
Épiphyse absente de la phalange moyenne du 4ème doigt	HP:0009214#
Partie terminale absente de l'os moyen de l'annulaire	HP:0009214#
Épiphyse en forme de crochet de la phalange moyenne du 4ème doigt	HP:0009215#
Partie terminale en forme de crochet de l'os moyen de l'annulaire	HP:0009215#
Épiphyse en forme de cône de la phalange moyenne du 4ème doigt	HP:0009216#
Partie terminale conique de l'os moyen de l'annulaire	HP:0009216#
Épiphyse élargie de la phalange moyenne du 4ème doigt	HP:0009217#
Partie terminale élargie de l'os moyen de l'annulaire	HP:0009217#
Fragmentation de l'épiphyse de la phalange moyenne du 4ème doigt	HP:0009218#
Fragmentation de la partie terminale de l'os moyen de l'annulaire	HP:0009218#
Épiphyse irrégulière de la phalange moyenne du 4ème doigt	HP:0009219#
Partie terminale irrégulière de l'os moyen de l'annulaire	HP:0009219#
Épiphyse ivoire de la phalange moyenne du 4ème doigt	HP:0009220#
Augmentation de la densité osseuse de la partie terminale de l'os moyen de l'annulaire	HP:0009220#
Pseudo-épiphyse de la phalange moyenne du 4ème doigt	HP:0009221#
Petite épiphyse de la phalange moyenne du 4ème doigt	HP:0009222#
Petite partie terminale de l'os moyen de l'annulaire	HP:0009222#
Piqûres de l'épiphyse de la phalange moyenne du 4ème doigt	HP:0009223#
Calcifications mouchetées dans la partie terminale de l'os moyen de l'annulaire	HP:0009223#
Épiphyse triangulaire de la phalange moyenne du 4ème doigt	HP:0009224#
Épiphyse en forme de triangle de la phalange moyenne du 4ème doigt	HP:0009224#
